UserID,Item,Rating,App,Data,Ease,Class,Semester,Lockdown
1173,28,5,4,4,4,DA,Fall,PRE
1173,41,5,4,4,4,DA,Fall,PRE
1173,61,4,4,4,4,DA,Fall,PRE
1173,22,1,1,2,2,DA,Fall,PRE
1173,27,1,1,2,2,DA,Fall,PRE
1173,31,1,2,2,2,DA,Fall,PRE
1151,21,4,4,5,4,DA,Fall,PRE
1151,47,4,4,5,4,DA,Fall,PRE
1151,69,5,4,5,4,DA,Fall,PRE
1151,28,2,2,1,2,DA,Fall,PRE
1151,39,1,2,2,2,DA,Fall,PRE
1151,45,1,2,1,2,DA,Fall,PRE
1324,21,3,5,5,4,DA,Fall,PRE
1324,25,4,5,4,3,DA,Fall,PRE
1324,46,3,5,4,3,DA,Fall,PRE
1324,55,4,5,4,3,DA,Fall,PRE
1324,69,4,5,4,4,DA,Fall,PRE
1324,31,1,2,2,1,DA,Fall,PRE
1324,36,1,1,2,1,DA,Fall,PRE
1324,62,1,1,2,1,DA,Fall,PRE
1264,21,4,5,5,4,DA,Fall,PRE
1264,23,4,5,5,3,DA,Fall,PRE
1264,25,4,5,5,4,DA,Fall,PRE
1264,28,4,5,4,4,DA,Fall,PRE
1264,31,5,5,5,5,DA,Fall,PRE
1264,35,4,5,5,4,DA,Fall,PRE
1264,38,4,5,4,3,DA,Fall,PRE
1264,40,4,5,5,4,DA,Fall,PRE
1264,41,4,4,5,4,DA,Fall,PRE
1264,47,4,5,4,3,DA,Fall,PRE
1264,58,4,5,5,4,DA,Fall,PRE
1264,60,5,4,5,4,DA,Fall,PRE
1264,61,4,5,5,4,DA,Fall,PRE
1264,62,4,4,5,4,DA,Fall,PRE
1264,63,4,3,4,4,DA,Fall,PRE
1264,66,4,5,4,3,DA,Fall,PRE
1264,69,4,5,5,4,DA,Fall,PRE
1264,30,1,2,2,1,DA,Fall,PRE
1264,34,2,3,2,2,DA,Fall,PRE
1264,68,1,1,1,1,DA,Fall,PRE
1028,21,4,4,4,4,DA,Fall,PRE
